layers,ML_acc,ML_err,Likelihood_acc,Likelihood_err,ML2_acc,ML2_err
10,0.9236,0.000375668,0.9173,0.000389514,0.9227,0.000377582
11,0.9299,0.000361071,0.9232,0.000376568,0.9295,0.000362107
12,0.9338,0.000351618,0.9284,0.000364619,0.936,0.000346198
13,0.9399,0.000336119,0.9332,0.000353094,0.9405,0.000334586
14,0.9456,0.000320751,0.9404,0.000334807,0.9442,0.000324508
15,0.9499,0.000308513,0.9445,0.000323789,0.9485,0.000312431
16,0.9536,0.00029748,0.9481,0.000313708,0.9517,0.000303314
17,0.9563,0.000289103,0.9526,0.00030051,0.9547,0.000294114
18,0.9594,0.000279112,0.9556,0.000291303,0.9578,0.000284353
19,0.9618,0.000271075,0.9585,0.000282056,0.9606,0.000275054
20,0.9651,0.000259546,0.9617,0.000271415,0.9628,0.000267614
21,0.9672,0.000251889,0.9641,0.000263101,0.9642,0.00026284
22,0.9689,0.00024549,0.9663,0.000255203,0.9664,0.000254852
23,0.9714,0.00023572,0.9693,0.000243957,0.9684,0.000247392
24,0.9733,0.000227979,0.9705,0.00023929,0.9695,0.000243109
25,0.9747,0.000222081,0.9723,0.000232089,0.9713,0.000236112
26,0.9766,0.000213787,0.9739,0.000225472,0.9725,0.000231126
27,0.9784,0.000205589,0.9756,0.000218196,0.9737,0.000226403
28,0.9795,0.000200398,0.977,0.000211995,0.9756,0.000218274
29,0.9807,0.000194564,0.9783,0.000206054,0.9759,0.000216681
30,0.9817,0.000189553,0.9798,0.000198957,0.9774,0.000210005
31,0.9829,0.000183344,0.981,0.000193075,0.9784,0.00020557
32,0.9842,0.000176354,0.982,0.000188021,0.9795,0.000200571
